,logk,logk_est,logk_est_L,logk_est_U
0,-10.0,-6.535,-9.346,-4.171
1,-8.636363636363637,-5.946,-8.757,-3.889
2,-7.272727272727273,-6.443,-9.362,-4.189
3,-5.909090909090909,-6.284,-8.99,-4.172
4,-4.545454545454546,-4.059,-5.298,-2.919
5,-3.1818181818181825,-3.086,-3.796,-2.351
6,-1.8181818181818183,-1.877,-2.733,-1.152
7,-0.45454545454545503,-0.996,-1.689,-0.311
8,0.9090909090909083,2.372,0.331,5.516
9,2.2727272727272716,2.927,0.682,5.824
10,3.636363636363635,2.727,0.502,5.765
11,5.0,2.091,-0.046,5.155
